start,end,text,end_sec,page
03:25.5,03:30.2,"이렇게 중간에서 하나의 고정된 크기의 컨텍스트 벡터로 바꾼 뒤에,",210.2,2
03:30.3,03:35.1,다시 이러한 컨텍스트 벡터로부터 출력 문장을 만들어내는 것을 확인할 수 있습니다.,215.1,2
03:35.3,03:42.5,"즉, 한쪽의 시퀀스에서부터 다른 한쪽의 시퀀스를 만든다는 의미에서 시퀀스 투 시퀀스 모델이라고 부를 수 있습니다.",222.54,2
03:42.8,03:46.5,결과적으로 이렇게 영어 출력 문장이 나오는 걸 확인할 수 있고요.,226.46,2
03:46.5,03:50.4,"다만 이때, 이러한 시퀀스 투 시퀀스 아키텍처를 확인해 보시면,",230.44,2
03:50.7,03:55.9,매번 단어가 입력될 때마다 히든 스테이트 값을 갱신하는 걸 확인할 수 있습니다.,235.94,2
03:56.1,03:58.2,"이런 식으로 단어가 입력될 때마다,",238.16,2
03:58.2,04:03.6,"이전까지 입력되었던 단어들에 대한 정보를 포함하고 있는 히든 스테이트 값을 받아서,",243.6,2
04:03.7,04:06.8,매번 이런 식으로 히든 스테이트 값을 새롭게 갱신합니다.,246.84,2
04:07.1,04:13.6,"즉, 이런 식으로 각각의 단어가 차례대로 순서에 맞게 입력될 때마다 히든 스테이트 값이 갱신되어,",253.6,2
04:13.6,04:16.4,"이러한 히든 스테이트 값은 이전까지 입력되었고,",256.44,2
04:16.5,04:19.2,"입력되었던 단어들에 대한 정보를 갖고 있기 때문에,",259.16,2
04:19.3,04:21.4,"이렇게 마지막 단어가 들어왔을 때,",261.44,2
04:21.5,04:28.8,그때의 히든 스테이트 값은 소스 문장 전체를 대표하는 하나의 컨텍스트 벡터로써 사용할 수가 있다는 것입니다.,268.82,2
04:29.0,04:34.6,"그렇기 때문에, 이렇게 마지막 단어가 들어왔을 때의 히든 스테이트 값을 하나의 컨텍스트 벡터로써,",274.6,2
04:34.7,04:41.9,이 컨텍스트 벡터 안에는 앞에 등장했던 소스 문장에 대한 문맥적인 정보를 담고 있다고 가정하는 것입니다.,281.88,2
04:42.1,04:45.2,"그렇기 때문에, 이러한 컨텍스트 벡터로부터 출발해서,",285.22,2
04:45.2,04:50.0,"이렇게 출력을 수행하는 디코더 파트에서는 매번 출력 단어가 들어올 때마다,",290,2
04:50.1,04:56.0,이러한 컨텍스트 벡터로부터 출발해서 마찬가지로 히든 스테이트를 만들어서 매번 출력을 내보냅니다.,295.96,2
04:56.1,05:00.8,"이렇게 그 다음 단계에서는 이전에 출력했던 단어가 다시 입력으로 들어와서,",300.8,2
05:00.9,05:06.9,"반복적으로 이전까지 출력했던 단어에 대한 정보를 가지고 있는 히든 스테이트와 같이 입력을 받아,",306.9,2
05:07.0,05:09.8,새롭게 히든 스테이트를 갱신하는 걸 확인할 수 있습니다.,309.78,2
05:10.0,05:14.3,"이런 식으로 디코더 파트에서는 매번 히든 스테이트 값을 갱신하면서,",314.3,2
05:14.5,05:15.0,"이렇게,",315.02,2
05:15.0,05:19.9,히든 스테이트 값으로부터 출력 값이 end of sequence가 나올 때까지 반복합니다.,319.88,2
05:20.1,05:24.1,"그래서 end of sequence가 나왔을 때 출력 문장 생성을 마치게 되고요,",324.08,2
05:24.2,05:28.1,이렇게 출력된 정보인 good evening이 나오는 걸 확인할 수 있습니다.,328.06,2
05:28.3,05:32.6,이게 가장 기본적인 형태의 시퀀스 to 시퀀스 모델의 동작 원리입니다.,332.6,2
05:32.8,05:34.1,"다만 확인해 보시면 이렇게,",334.1,2
05:34.3,05:38.4,"소스 문장을 대표하는 하나의 컨텍스트 벡터를 만들어야 한다는 점에서,",338.42,2
05:38.6,05:42.5,"이렇게 고정된 크기의 컨텍스트 벡터에 정보를 압축하려고 하면,",342.54,2
05:42.8,05:44.8,"이러한 입력 문장은 어떨 때는,",344.76,2
05:45.0,05:45.5,"짧기도 하고,",345.52,2
05:45.6,05:47.3,"어떨 때는 길기도 하기 때문에,",347.34,2
05:47.5,05:49.4,"그러한 다양한 경우의 수에 대해서,",349.4,2
05:49.7,05:53.3,"항상 소스 문장의 정보를 고정된 크기로 가지고 있는 것은,",353.32,2
05:53.4,05:56.7,전체 성능에서 병목 현상의 원인이 될 수 있습니다.,356.72,2
05:56.9,06:00.4,"그래서 이러한 문제를 조금이나마 완화하기 위한 아이디어로,",360.4,3
06:00.5,06:06.4,"이 고정된 크기의 컨텍스트 벡터를 매번 이 디코더의 RNN 셀에서 참고하도록 만들어서,",366.4,3
06:06.5,06:08.2,조금 더 성능을 개선할 수 있습니다.,368.24,3
06:08.5,06:09.4,"이렇게 하게 되면,",369.36,3
06:09.5,06:14.3,"이 컨텍스트 벡터에 대한 정보가 이 디코더 파트의 RNN 셀을 거침에 따라서,",374.32,3
06:15.0,06:17.8,"정보가 손실되는 정도를 더 줄일 수 있기 때문에,",377.8,3
06:18.4,06:20.3,"출력되는 문장이 길어진다고 하더라도,",380.26,3
06:20.8,06:25.8,"각각의 출력되는 단어에 이러한 컨텍스트 벡터에 대한 정보를 다시 한번 넣어줄 수 있어서,",385.78,3
06:26.0,06:28.7,성능이 기존보다 조금 더 향상될 순 있습니다.,388.74,3
06:29.0,06:31.0,"다만 이런 식으로 접근한다고 하더라도,",391.04,3
06:31.1,06:36.3,"여전히 이 소스 문장을 하나의 벡터에 압축해야 된다는 점은 동일하기 때문에,",396.34,3
06:36.5,06:38.2,병목 현상은 여전히 발생합니다.,398.24,3
06:38.4,06:40.0,"즉 현재의 문제 상황이라고 한다면,",400.04,4
06:40.2,06:42.7,"하나의 문맥 벡터, 즉 컨텍스트 벡터가,",402.68,4
06:42.8,06:45.0,"소스 문장의 모든 정보를 가지고 있어서,",405,4
06:45.0,06:47.2,성능이 저하될 수 있다는 것입니다.,407.24,4
06:47.4,06:49.5,"그렇다면 디코더 파트에서는,",409.54,4
06:49.7,06:52.8,"하나의 문맥 벡터에 대한 정보만 가지고 있는 게 아니라,",412.84,4
06:53.0,06:54.6,"출력 단어를 만들 때마다,",414.56,4
06:54.7,06:59.4,매번 소스 문장에서의 출력 값들 전부를 입력으로 받으면 어떨까요?,419.44,4
06:59.5,07:01.3,라는 아이디어가 나올 수 있는 거죠.,421.28,4
07:01.4,07:05.5,"최신 GPU는 많은 메모리와 그리고 빠른 병렬 처리를 지원하기 때문에,",425.54,4
07:05.8,07:08.5,"소스 문장의 시퀀스 길이가 길다고 하더라도,",428.52,4
07:08.7,07:12.8,"그러한 소스 문장을 구성하는 각각의 단어에 대한 출력 값들 전부를,",432.84,4
07:12.9,07:14.8,"특정 행렬에다가 기록해 놓았다가,",434.78,4
07:14.8,07:19.7,"소스 문장에 대한 전반적인 내용들을 매번 출력할 때마다 반영할 수 있기 때문에,",439.66,4
07:19.7,07:22.2,성능이 좋아질 것을 기대할 수 있습니다.,442.16,4
07:22.4,07:26.7,"다시 말해, 하나의 고정된 크기의 컨텍스트 벡터에 담지 말고,",446.72,4
07:26.9,07:31.4,"그냥 소스 문장에서 나왔던 출력 값들 전부를 매번 입력으로 받아서,",451.38,4
07:31.5,07:35.0,"일련의 처리 과정을 거쳐서 출력 단어를 만들도록 하면,",454.96,4
07:35.1,07:37.0,성능이 더 좋아질 수 있다는 겁니다.,456.96,4
07:37.2,07:39.0,"지금 보이는 아키텍처가 바로,",458.96,5
07:39.1,07:43.0,시퀀스 시퀀스에 어텐션 메커니즘을 적용한 아키텍처인데요.,463.02,5
07:43.3,07:44.8,"이렇게 어텐션 메커니즘을,",464.76,5
07:44.8,07:49.0,적용해서 인코더 파트의 모든 출력을 참고하도록 만들 수가 있습니다.,469,5
07:49.2,07:51.7,"실제로 파이톨치와 같은 프레임워크에서는,",471.72,5
07:51.9,07:55.3,"단순히 RNN이나 LSTM 같은 걸 사용하도록 만들면,",475.28,5
07:55.4,07:59.7,"이렇게 매번 전체 시퀀스 기기에 맞는 아웃풋 값들이 따로,",479.7,5
07:59.7,08:01.1,출력 값들이 나오게 되는데요.,481.08,5
08:01.3,08:05.8,이제 그걸 그대로 이용해서 실제로 어텐션 메커니즘을 간단하게 구현할 수도 있습니다.,485.78,5
08:06.0,08:07.5,"전반적인 내용을 확인해 보시면,",487.46,5
08:07.7,08:11.2,"이렇게 매번 단어가 출력돼서 히든스테이트가 나올 때마다,",491.16,5
08:11.2,08:13.7,"그냥 이 값들을 전부 다 출력 값으로써,",493.74,5
08:13.7,08:16.5,그냥 별도의 배열에다가 다 기록해 놓습니다.,496.52,5
08:16.7,08:19.3,"그래서 이런 식으로 각각의 단어를 거치면서,",499.3,5
08:19.3,08:22.6,갱신되는 히든스테이트 값들을 매번 다 가지고 있는 거예요.,502.64,5
08:22.7,08:23.8,"이렇게 해 줌으로써,",503.78,5
08:23.8,08:27.4,"이렇게 매 단어가 들어왔을 때의 히든스테이트 값을,",507.42,5
08:27.5,08:29.6,"전부 가지고 있을 수 있기 때문에,",509.58,5
08:29.8,08:32.4,"이러한 값들을 어떻게든 참고해서,",512.38,5
08:32.5,08:35.0,"이렇게 출력 단어가 매번 생성될 때마다,",515,5
08:35.2,08:39.5,이러한 소스 문장 전체를 반영하겠다라는 아이디어라고 보시면 되겠습니다.,519.48,5
08:39.8,08:42.7,"실제로는 이렇게 디코더 파트에서 매번,",522.68,5
08:42.7,08:43.7,"히든스테이트를 넣어서,",523.72,5
08:43.7,08:44.4,"히든스테이트 값을 갱신하게 되는데,",524.44,5
08:44.7,08:48.2,"이때 현재 단계에서 히든스테이트 값을 만든다고 하면,",528.18,5
08:48.4,08:50.7,"바로 이전의 히든스테이트 값을 이용해서,",530.74,5
08:50.8,08:52.7,"이 출력 단의 히든스테이트 값과,",532.74,5
08:52.8,08:56.7,"이렇게 소스 문장 단의 히든스테이트 값을 서로 묶어서,",536.72,5
08:56.9,08:58.5,"별도의 행렬 곡을 수행해서,",538.46,5
08:58.6,09:00.6,각각 에너지 값을 만들어냅니다.,540.6,5
09:00.8,09:02.6,"이제 이때 그 에너지 값은,",542.6,5
09:02.7,09:05.1,"내가 현재 어떠한 단어를 출력하기 위해서,",545.1,5
09:05.3,09:09.7,"소스 문장에서 어떤 단어에 초점을 둘 필요가 있는지를,",549.68,5
09:09.7,09:11.4,수치화해서 표현한 값입니다.,551.44,5
09:11.7,09:12.2,"이제 그래서,",552.18,5
09:12.2,09:15.0,"그러한 에너지 값에 소프트맥스를 취해서,",555.04,5
09:15.1,09:16.3,"확률 값을 구한 뒤에,",556.28,5
09:16.4,09:19.9,"그렇게 소스 문장에 각각의 히든스테이트 값에 대해서,",559.92,5
09:20.1,09:23.0,"어떤 벡터에 더 많은 가중치를 두어서,",563.04,5
09:23.2,09:25.0,"참고하면 좋을지를 반영해서,",564.98,5
09:25.4,09:28.1,"그렇게 가중치 값을 다 히든스테이트에 곱한 것을,",568.08,5
09:28.2,09:30.8,"각각의 비율에 맞게 더해준 다음에,",570.78,5
09:31.0,09:33.1,"이제 그러한 weighted sum 값을,",573.08,5
09:33.2,09:35.3,"매번 출력 단어를 만들기 위해서,",575.26,5
09:35.4,09:37.6,반영을 하겠다라고 보시면 됩니다.,577.56,5
09:37.8,09:41.4,"그래서 단순히 이렇게 컨텍스트 벡터만 참고하는 것이 아니라,",581.36,5
09:41.6,09:42.2,"여기에 더해진,",582.16,5
09:42.2,09:42.6,"더불어서,",582.62,5
09:42.7,09:44.7,"소스 문장에서 출력이 되었던,",584.7,5
09:44.8,09:47.6,"모든 히든스테이트 값들을 전부 반영해서,",587.64,5
09:47.8,09:49.8,"이러한 소스 문장의 단어들 중에서,",589.82,5
09:50.0,09:52.6,"어떤 단어에 더욱 더 주의 집중해서,",592.6,5
09:52.7,09:54.5,"출력 결과 를 만들 수 있는가를,",594.54,5
09:54.7,09:56.7,"우리 모델이 고려하도록 만들어서,",596.68,5
09:56.8,09:58.7,성능을 더욱 높일 수가 있다는 겁니다.,598.66,5
09:59.0,09:59.8,"즉 쉽게 말하면,",599.8,5
09:59.9,10:01.3,"매번 출력할 때마다,",601.32,5
10:01.5,10:04.3,"이 소스 문장에서 나왔던 모든 출력 값들을,",604.28,5
10:04.4,10:06.1,전부 참고하겠다 이겁니다.,606.08,5
10:06.2,10:09.9,"즉 이렇게 압축된 컨텍스트 벡터 하나만 보는 것이 아니라,",609.9,5
10:10.2,10:12.2,"이러한 출력 값들을 전부 고려한,",612.16,5
10:12.2,10:14.5,"하나의 weighted sum vector를 구한 다음에,",614.52,5
10:14.6,10:16.8,"개를 이렇게 같이 입력으로 넣어줘서,",616.78,5
10:16.8,10:20.1,"소스 문장에 대한 정보를 모두 고려할 수 있도록 만들기 때문에,",620.08,5
10:20.1,10:21.6,성능이 좋아질 수 있는 것입니다.,621.6,5
10:22.3,10:23.2,"자 그래서 실제로,",623.22,6
10:23.5,10:25.4,"이 attention 기법을 적용했을 때,",625.4,6
10:25.6,10:28.8,"디코더 파트에서 각각의 출력 단어를 만드는 과정을,",628.8,6
10:28.9,10:30.8,"수식적으로 표현하면 다음과 같이,",630.82,6
10:30.9,10:32.0,정리할 수가 있는데요.,632.02,6
10:32.4,10:35.6,이때 i는 현재 디코더가 처리 중인 인덱스가 되겠습니다.,635.58,6
10:36.0,10:39.1,"즉 디코더가 매번 한 번에 하나의 단어를 만드는데,",639.08,6
10:39.2,10:42.0,그 각각의 처리 중인 인덱스가 i가 되겠고요.,641.98,6
10:42.2,10:43.6,"이때 이 j 같은 경우는,",643.58,6
10:43.6,10:46.1,인코더 파트에서 출력 인덱스가 되겠습니다.,646.06,6
10:46.4,10:48.2,"즉 에너지 값이라고 하는 것은,",648.22,6
10:48.3,10:51.4,"매번 디코더가 출력 단어를 만들 때마다,",651.4,6
10:51.5,10:53.1,모든 j를 고려하는 겁니다.,653.12,6
10:53.3,10:56.5,즉 인코더의 모든 출력들을 고려하겠다 라고 보시면 돼요.,656.48,6
10:56.7,10:57.8,"이제 여기에서 s는,",657.82,6
10:57.9,11:01.5,"디코더가 이전에 출력했던 단어를 만들기 위해 사용했던,",661.52,6
11:01.7,11:02.8,히든 스테이트가 되겠고요.,662.82,6
11:03.0,11:06.0,여기 h는 인코더 파트의 각각의 히든 스테이트입니다.,665.98,6
11:06.2,11:08.1,"즉 이걸 간단하게 정리하자면,",668.14,6
11:08.3,11:11.9,"디코더 파트에서 내가 이전에 출력했던 정보는 이거인데,",671.88,6
11:11.9,11:16.2,"이 정보와 인코더의 모든 출력 값과 비교를 해서,",676.2,6
11:16.3,11:17.9,에너지 값을 구하겠다는 겁니다.,677.88,6
11:18.1,11:21.9,"즉 어떤 h 값과 가장 많은 연관성을 가지는지를,",681.92,6
11:22.0,11:23.8,"에너지 값으로 구할 수가 있는 거고,",683.84,6
11:24.1,11:26.7,"이제 이러한 에너지 값에 소프트맥스를 치유해서,",686.74,6
11:26.8,11:27.7,확률 값을 구합니다.,687.66,6
11:27.8,11:29.2,"즉 실제로 비율적으로,",689.16,6
11:29.4,11:33.4,"이 각각의 h 값들 중에서 어떤 값과 가장 연관성이 높은지를,",693.38,6
11:33.4,11:34.3,"구하도록 만들고,",694.34,6
11:34.5,11:38.5,"이제 이러한 가중치 값을 실제로 h 값과 곱하도록 만들어서,",698.5,6
11:38.6,11:41.9,"이러한 가중치가 반영된 각각의 인코더의 출력을,",701.86,6
11:41.9,11:44.7,출력 결과를 더해서 그것을 활용하는 것입니다.,704.72,6
11:44.9,11:46.5,"그래서 이 그림은 실제로,",706.46,7
11:46.6,11:49.1,"이 attention mechanism을 제안한 논문에서,",709.06,7
11:49.2,11:50.6,보여주고 있는 그림인데요.,710.6,7
11:51.0,11:54.6,자 보시면 마찬가지로 에너지랑 이 가중치의 공식은 동일합니다.,714.56,7
11:54.9,11:59.0,"보시면은 매번 디코더 파트에서 각각의 단어를 만들기 위해서는,",718.96,7
11:59.0,12:02.0,이런 식으로 h 값을 이용해서 만들 수가 있는데요.,722.04,7
12:02.3,12:05.5,"현재 h 즉 st 를 만들기 위해서,",725.46,7
12:05.6,12:08.9,"이전에 사용했던 h 값과 이 인코더 파트의,",728.9,7
12:09.0,12:11.1,"모든 각각의 h 값을,",731.08,7
12:11.1,12:13.9,"같이 묶어서 에너지 값을 구한 뒤에,",733.86,7
12:13.9,12:15.8,"이제 거기에 소프트맥스를 취해서,",735.82,7
12:15.9,12:17.7,이렇게 비율 값을 구할 수 있는 거예요.,737.74,7
12:17.9,12:20.3,즉 그러한 비율이 각각 이 a 가 되겠습니다.,740.32,7
12:20.7,12:23.0,"예를 들어서 만약에 입력 문장이,",742.96,7
12:23.0,12:26.5,I am a teacher 라고 해볼게요.,746.46,7
12:26.7,12:31.1,"이때 I am a teacher에 각각의 단어들 중에서,",751.1,7
12:31.2,12:33.4,"어떤 걸 가장 많이 참고하면 되는지를,",753.4,7
12:33.5,12:36.4,그 비율 값을 이렇게 퍼센테이지로 구해주는 겁니다.,756.38,7
12:36.7,12:40.3,"예를 들어서 i는 70%, m은 20%,,",760.3,7
12:41.1,12:43.8,"ㄴ은 5%, t도 5% 이런 식으로,",763.82,7
12:43.9,12:45.9,"다 더했을 때 100이 될 수 있도록,",765.92,7
12:45.9,12:48.4,"그 확률 값을 구해서 그 비율만큼,",768.42,7
12:48.4,12:50.7,"실제로 이 h 값을 곱한 것을,",770.72,7
12:50.8,12:53.3,이 context vector처럼 사용을 할 수 있다는 겁니다.,773.26,7
12:53.4,12:55.4,"그래서 매번 출력을 할 때마다,",775.38,7
12:55.4,12:57.6,"이렇게 소스 문장에서 출력되었던,",777.6,7
12:57.7,13:00.1,"모든 hidden state 값들을 전부 반영해서,",780.1,7
13:00.4,13:03.6,이렇게 다음에 뭘 출력할지를 만들 수 있다는 겁니다.,783.6,7
13:04.0,13:07.0,"그래서 이렇게 매번 출력 단어를 만들 때마다,",787.02,7
13:07.2,13:09.1,"이렇게 소스 문장에서 등장했던,",789.06,7
13:09.3,13:11.1,"모든 hidden state 값들을, 전부 반영해서,",791.06,7
13:11.8,13:13.2,사용할 수가 있는 겁니다.,793.2,7
13:13.4,13:15.6,"즉 다시 한 번 용어를 정리해 드리자면,",795.58,7
13:15.7,13:16.9,"이 energy 값은,",796.92,7
13:16.9,13:19.8,"소스 문장에서 나왔던 모든 출력 값들 중에서,",799.76,7
13:19.9,13:23.1,"어떤 값과 가장 연관성이 있는지를 구하기 위해서,",803.06,7
13:23.2,13:24.8,그 수치를 구한 것이고요.,804.78,7
13:24.9,13:27.2,"이제 그 값들을 softmax에 넣어서,",807.2,7
13:27.3,13:29.2,"상대적인 확률 값을 구한 것이,",809.24,7
13:29.3,13:30.6,그 가중치라고 할 수 있겠고요.,810.64,7
13:30.8,13:33.7,"그러한 가중치 값들을 실제로 각각의,",813.74,7
13:33.8,13:36.3,"그 소스 문장의 hidden state와 곱해줘서,",816.26,7
13:36.3,13:39.4,"전부 더해준 값을 실제로 디코더의 입력으로,",819.42,7
13:39.5,13:40.9,"같이 넣어주겠다라고,",820.88,7
13:41.1,13:41.7,보시면 되겠습니다.,821.66,7
13:41.9,13:44.4,"이제 이런 식으로 attention 메커니즘을 쓰게 되면,",824.36,8
13:44.5,13:45.8,"성능이 좋아질 뿐만 아니라,",825.78,8
13:46.0,13:47.5,"또 추가적인 장점으로는,",827.5,8
13:47.5,13:49.8,이러한 attention은 시각화할 수도 있다는 건데요.,829.78,8
13:49.8,13:51.5,"이런 식으로 attention 가중치,",831.48,8
13:51.6,13:53.4,"즉 구해진 확률 값을 이용해서,",833.36,8
13:53.5,13:54.9,"매번 출력이 나올 때마다,",834.9,8
13:54.9,13:58.0,"그 출력이 입력에서 어떤 정보를 참고했는지를,",838.02,8
13:58.0,13:58.8,구할 수가 있습니다.,838.78,8
13:59.1,14:00.1,"지금 보시면 이거는,",840.12,8
14:00.3,14:02.3,영어를 불어로 번역한 예시인데요.,842.3,8
14:02.7,14:06.2,여기서 the arrangement on the European 이렇게 나오죠.,846.16,8
14:06.3,14:08.2,"이 각각의 단어들이 있을 때,",848.2,8
14:08.4,14:10.9,"이제 매번 이 불어의 단어들을,",850.92,8
14:11.1,14:11.8,"출력할 때마다,",851.78,8
14:12.3,14:13.6,"이러한 입력 단어들 중에서,",853.64,8
14:13.7,14:16.5,"어떤 단어에 가장 많은 초점을 뒀는지를,",856.48,8
14:16.5,14:17.4,구할 수가 있는 겁니다.,857.44,8
14:17.8,14:19.6,"지금 이런 식으로 밝게 표시된 부분이,",859.58,8
14:19.8,14:21.5,확률 값이 높은 부분이라고 할 수 있습니다.,861.54,8
14:21.9,14:23.9,"이런 식으로 매번 출력할 때마다,",863.9,8
14:24.1,14:26.3,"이 출력하는 단어가 입력 단어 중에서,",866.32,8
14:26.4,14:29.1,"어떤 단어에 더욱 많은 가중치를 두어서,",869.06,8
14:29.3,14:31.5,attention을 수행했는지를 구할 수가 있는 겁니다.,871.54,8
14:31.8,14:33.1,"기본적으로 딥러닝은,",873.08,8
14:33.1,14:35.2,"매우 많은 파라미터를 가지고 있기 때문에,",875.18,8
14:35.3,14:37.6,"그러한 세부적인 파라미터를 일일이 분석하면서,",877.62,8
14:38.0,14:39.6,"어떤 원리로 동작을 했는지를,",879.58,8
14:39.6,14:40.9,알아내기는 쉽지 않습니다.,880.86,8
14:41.1,14:42.0,"그렇기 때문에,",882,8
14:42.0,14:43.8,"이렇게 attention 메커니즘은,",883.76,8
14:43.8,14:46.1,"실제로 딥러닝이 어떤 요소에,",886.06,8
14:46.1,14:48.9,"더욱 더 많은 초점을 두어서 분류를 했는가,",888.88,8
14:48.9,14:51.2,"혹은 어떠한 데이터를 만들어냈는가,",891.16,8
14:51.2,14:53.1,"같은 과정을 분석할 때,",893.06,8
14:53.1,14:54.4,용이하게 사용할 수 있습니다.,894.38,8
14:54.6,14:57.5,"그렇다면 오늘 리뷰하고 있는 트랜스포머 논문은,",897.52,9
14:57.6,14:59.3,어떤 원리로 동작할까요?,899.32,9
14:59.5,15:01.1,"트랜스포머는 말씀드렸듯이,",901.12,9
15:01.2,15:02.6,"현대의 딥러닝 기반,",902.64,9
15:02.7,15:03.9,"자연화 처리 네트워크에서,",903.9,9
15:04.0,15:05.4,핵심이 되는 논문 중 하나입니다.,905.4,9
15:05.6,15:07.5,"그래서 논문의 원래 제목은,",907.54,9
15:07.6,15:09.1,attention is all you need 이고요.,909.14,9
15:09.3,15:11.0,"말 그대로 attention 기법만,",910.98,9
15:11.0,15:11.9,"잘 활용해도,",911.9,9
15:12.0,15:13.9,"다양한 자연화 처리 태스크에서,",913.86,9
15:14.0,15:16.0,좋은 성능을 얻을 수 있다는 의미입니다.,916,9
15:16.2,15:16.9,"다시 말해,",916.92,9
15:17.0,15:18.5,"attention 기법만 쓰기 때문에,",918.52,9
15:18.7,15:19.3,"RNN,",919.28,9
15:19.4,15:21.4,CNN 등을 전혀 필요로 하지 않습니다.,921.42,9
15:21.7,15:22.5,"진짜 말 그대로,",922.46,9
15:22.6,15:23.8,"attention 기법만 사용해서,",923.8,9
15:24.0,15:25.2,"기계 번역부터 시작해서,",925.24,9
