start,end,text,end_sec,page
08:42.680,08:43.720,"히든스테이트를 넣어서,",523.72,5
08:43.720,08:44.440,"히든스테이트 값을 갱신하게 되는데,",524.44,5
08:44.680,08:48.180,"이때 현재 단계에서 히든스테이트 값을 만든다고 하면,",528.18,5
08:48.380,08:50.740,"바로 이전의 히든스테이트 값을 이용해서,",530.74,5
08:50.840,08:52.740,"이 출력 단의 히든스테이트 값과,",532.74,5
08:52.800,08:56.720,"이렇게 소스 문장 단의 히든스테이트 값을 서로 묶어서,",536.72,5
08:56.860,08:58.460,"별도의 행렬 곡을 수행해서,",538.46,5
08:58.580,09:00.600,각각 에너지 값을 만들어냅니다.,540.6,5
09:00.780,09:02.600,"이제 이때 그 에너지 값은,",542.6,5
09:02.680,09:05.100,"내가 현재 어떠한 단어를 출력하기 위해서,",545.1,5
09:05.340,09:09.680,"소스 문장에서 어떤 단어에 초점을 둘 필요가 있는지를,",549.68,5
09:09.700,09:11.440,수치화해서 표현한 값입니다.,551.44,5
09:11.720,09:12.180,"이제 그래서,",552.18,5
09:12.180,09:15.040,"그러한 에너지 값에 소프트맥스를 취해서,",555.04,5
09:15.100,09:16.280,"확률 값을 구한 뒤에,",556.28,5
09:16.420,09:19.920,"그렇게 소스 문장에 각각의 히든스테이트 값에 대해서,",559.92,5
09:20.120,09:23.040,"어떤 벡터에 더 많은 가중치를 두어서,",563.04,5
09:23.160,09:24.980,"참고하면 좋을지를 반영해서,",564.98,5
09:25.440,09:28.080,"그렇게 가중치 값을 다 히든스테이트에 곱한 것을,",568.08,5
09:28.240,09:30.780,"각각의 비율에 맞게 더해준 다음에,",570.78,5
09:31.020,09:33.080,"이제 그러한 weighted sum 값을,",573.08,5
09:33.220,09:35.260,"매번 출력 단어를 만들기 위해서,",575.26,5
09:35.400,09:37.560,반영을 하겠다라고 보시면 됩니다.,577.56,5
09:37.820,09:41.360,"그래서 단순히 이렇게 컨텍스트 벡터만 참고하는 것이 아니라,",581.36,5
09:41.580,09:42.160,"여기에 더해진,",582.16,5
09:42.180,09:42.620,"더불어서,",582.62,5
09:42.680,09:44.700,"소스 문장에서 출력이 되었던,",584.7,5
09:44.820,09:47.640,"모든 히든스테이트 값들을 전부 반영해서,",587.64,5
09:47.780,09:49.820,"이러한 소스 문장의 단어들 중에서,",589.82,5
09:49.980,09:52.600,"어떤 단어에 더욱 더 주의 집중해서,",592.6,5
09:52.720,09:54.540,"출력 결과 를 만들 수 있는가를,",594.54,5
09:54.660,09:56.680,"우리 모델이 고려하도록 만들어서,",596.68,5
09:56.820,09:58.660,성능을 더욱 높일 수가 있다는 겁니다.,598.66,5
09:59.040,09:59.800,"즉 쉽게 말하면,",599.8,5
09:59.940,10:01.320,"매번 출력할 때마다,",601.32,5
10:01.520,10:04.280,"이 소스 문장에서 나왔던 모든 출력 값들을,",604.28,5
10:04.400,10:06.080,전부 참고하겠다 이겁니다.,606.08,5
10:06.180,10:09.900,"즉 이렇게 압축된 컨텍스트 벡터 하나만 보는 것이 아니라,",609.9,5
10:10.220,10:12.160,"이러한 출력 값들을 전부 고려한,",612.16,5
10:12.180,10:14.520,"하나의 weighted sum vector를 구한 다음에,",614.52,5
10:14.620,10:16.780,"개를 이렇게 같이 입력으로 넣어줘서,",616.78,5
10:16.840,10:20.080,"소스 문장에 대한 정보를 모두 고려할 수 있도록 만들기 때문에,",620.08,5
10:20.140,10:21.600,성능이 좋아질 수 있는 것입니다.,621.6,5
10:22.300,10:23.220,"자 그래서 실제로,",623.22,6
10:23.480,10:25.400,"이 attention 기법을 적용했을 때,",625.4,6
10:25.560,10:28.800,"디코더 파트에서 각각의 출력 단어를 만드는 과정을,",628.8,6
10:28.900,10:30.820,"수식적으로 표현하면 다음과 같이,",630.82,6
10:30.940,10:32.020,정리할 수가 있는데요.,632.02,6
10:32.380,10:35.580,이때 i는 현재 디코더가 처리 중인 인덱스가 되겠습니다.,635.58,6
10:35.960,10:39.080,"즉 디코더가 매번 한 번에 하나의 단어를 만드는데,",639.08,6
10:39.220,10:41.980,그 각각의 처리 중인 인덱스가 i가 되겠고요.,641.98,6
10:42.180,10:43.580,"이때 이 j 같은 경우는,",643.58,6
10:43.580,10:46.060,인코더 파트에서 출력 인덱스가 되겠습니다.,646.06,6
10:46.380,10:48.220,"즉 에너지 값이라고 하는 것은,",648.22,6
10:48.320,10:51.400,"매번 디코더가 출력 단어를 만들 때마다,",651.4,6
10:51.480,10:53.120,모든 j를 고려하는 겁니다.,653.12,6
10:53.320,10:56.480,즉 인코더의 모든 출력들을 고려하겠다 라고 보시면 돼요.,656.48,6
10:56.660,10:57.820,"이제 여기에서 s는,",657.82,6
10:57.920,11:01.520,"디코더가 이전에 출력했던 단어를 만들기 위해 사용했던,",661.52,6
11:01.660,11:02.820,히든 스테이트가 되겠고요.,662.82,6
11:02.980,11:05.980,여기 h는 인코더 파트의 각각의 히든 스테이트입니다.,665.98,6
11:06.220,11:08.140,"즉 이걸 간단하게 정리하자면,",668.14,6
11:08.280,11:11.880,"디코더 파트에서 내가 이전에 출력했던 정보는 이거인데,",671.88,6
11:11.880,11:16.200,"이 정보와 인코더의 모든 출력 값과 비교를 해서,",676.2,6
11:16.300,11:17.880,에너지 값을 구하겠다는 겁니다.,677.88,6
11:18.080,11:21.920,"즉 어떤 h 값과 가장 많은 연관성을 가지는지를,",681.92,6
11:22.020,11:23.840,"에너지 값으로 구할 수가 있는 거고,",683.84,6
11:24.140,11:26.740,"이제 이러한 에너지 값에 소프트맥스를 치유해서,",686.74,6
11:26.800,11:27.660,확률 값을 구합니다.,687.66,6
11:27.840,11:29.160,"즉 실제로 비율적으로,",689.16,6
11:29.360,11:33.380,"이 각각의 h 값들 중에서 어떤 값과 가장 연관성이 높은지를,",693.38,6
11:33.400,11:34.340,"구하도록 만들고,",694.34,6
11:34.480,11:38.500,"이제 이러한 가중치 값을 실제로 h 값과 곱하도록 만들어서,",698.5,6
11:38.640,11:41.860,"이러한 가중치가 반영된 각각의 인코더의 출력을,",701.86,6
11:41.860,11:44.720,출력 결과를 더해서 그것을 활용하는 것입니다.,704.72,6
11:44.900,11:46.460,"그래서 이 그림은 실제로,",706.46,7
11:46.640,11:49.060,"이 attention mechanism을 제안한 논문에서,",709.06,7
11:49.180,11:50.600,보여주고 있는 그림인데요.,710.6,7
11:51.020,11:54.560,자 보시면 마찬가지로 에너지랑 이 가중치의 공식은 동일합니다.,714.56,7
11:54.880,11:58.960,"보시면은 매번 디코더 파트에서 각각의 단어를 만들기 위해서는,",718.96,7
11:58.980,12:02.040,이런 식으로 h 값을 이용해서 만들 수가 있는데요.,722.04,7
12:02.340,12:05.460,"현재 h 즉 st 를 만들기 위해서,",725.46,7
12:05.620,12:08.900,"이전에 사용했던 h 값과 이 인코더 파트의,",728.9,7
12:09.000,12:11.080,"모든 각각의 h 값을,",731.08,7
12:11.080,12:13.860,"같이 묶어서 에너지 값을 구한 뒤에,",733.86,7
12:13.940,12:15.820,"이제 거기에 소프트맥스를 취해서,",735.82,7
12:15.940,12:17.740,이렇게 비율 값을 구할 수 있는 거예요.,737.74,7
12:17.880,12:20.320,즉 그러한 비율이 각각 이 a 가 되겠습니다.,740.32,7
12:20.680,12:22.960,"예를 들어서 만약에 입력 문장이,",742.96,7
12:23.040,12:26.460,I am a teacher 라고 해볼게요.,746.46,7
12:26.700,12:31.100,"이때 I am a teacher에 각각의 단어들 중에서,",751.1,7
12:31.180,12:33.400,"어떤 걸 가장 많이 참고하면 되는지를,",753.4,7
12:33.500,12:36.380,그 비율 값을 이렇게 퍼센테이지로 구해주는 겁니다.,756.38,7
12:36.700,12:40.300,"예를 들어서 i는 70%, m은 20%,,",760.3,7
12:41.080,12:43.820,"ㄴ은 5%, t도 5% 이런 식으로,",763.82,7
12:43.940,12:45.920,"다 더했을 때 100이 될 수 있도록,",765.92,7
12:45.940,12:48.420,"그 확률 값을 구해서 그 비율만큼,",768.42,7
12:48.420,12:50.720,"실제로 이 h 값을 곱한 것을,",770.72,7
12:50.800,12:53.260,이 context vector처럼 사용을 할 수 있다는 겁니다.,773.26,7
12:53.440,12:55.380,"그래서 매번 출력을 할 때마다,",775.38,7
12:55.440,12:57.600,"이렇게 소스 문장에서 출력되었던,",777.6,7
12:57.720,13:00.100,"모든 hidden state 값들을 전부 반영해서,",780.1,7
13:00.360,13:03.600,이렇게 다음에 뭘 출력할지를 만들 수 있다는 겁니다.,783.6,7
13:04.040,13:07.020,"그래서 이렇게 매번 출력 단어를 만들 때마다,",787.02,7
13:07.200,13:09.060,"이렇게 소스 문장에서 등장했던,",789.06,7
13:09.260,13:11.060,"모든 hidden state 값들을, 전부 반영해서,",791.06,7
13:11.840,13:13.200,사용할 수가 있는 겁니다.,793.2,7
13:13.380,13:15.580,"즉 다시 한 번 용어를 정리해 드리자면,",795.58,7
13:15.680,13:16.920,"이 energy 값은,",796.92,7
13:16.940,13:19.760,"소스 문장에서 나왔던 모든 출력 값들 중에서,",799.76,7
13:19.920,13:23.060,"어떤 값과 가장 연관성이 있는지를 구하기 위해서,",803.06,7
13:23.240,13:24.780,그 수치를 구한 것이고요.,804.78,7
13:24.920,13:27.200,"이제 그 값들을 softmax에 넣어서,",807.2,7
13:27.320,13:29.240,"상대적인 확률 값을 구한 것이,",809.24,7
13:29.300,13:30.640,그 가중치라고 할 수 있겠고요.,810.64,7
13:30.820,13:33.740,"그러한 가중치 값들을 실제로 각각의,",813.74,7
13:33.760,13:36.260,"그 소스 문장의 hidden state와 곱해줘서,",816.26,7
13:36.340,13:39.420,"전부 더해준 값을 실제로 디코더의 입력으로,",819.42,7
13:39.480,13:40.880,"같이 넣어주겠다라고,",820.88,7
13:41.080,13:41.660,보시면 되겠습니다.,821.66,7
13:41.940,13:44.360,"이제 이런 식으로 attention 메커니즘을 쓰게 되면,",824.36,8
13:44.460,13:45.780,"성능이 좋아질 뿐만 아니라,",825.78,8
13:45.960,13:47.500,"또 추가적인 장점으로는,",827.5,8
13:47.500,13:49.780,이러한 attention은 시각화할 수도 있다는 건데요.,829.78,8
13:49.800,13:51.480,"이런 식으로 attention 가중치,",831.48,8
13:51.620,13:53.360,"즉 구해진 확률 값을 이용해서,",833.36,8
13:53.520,13:54.900,"매번 출력이 나올 때마다,",834.9,8
13:54.940,13:58.020,"그 출력이 입력에서 어떤 정보를 참고했는지를,",838.02,8
13:58.020,13:58.780,구할 수가 있습니다.,838.78,8
13:59.120,14:00.120,"지금 보시면 이거는,",840.12,8
14:00.260,14:02.300,영어를 불어로 번역한 예시인데요.,842.3,8
14:02.720,14:06.160,여기서 the arrangement on the European 이렇게 나오죠.,846.16,8
14:06.320,14:08.200,"이 각각의 단어들이 있을 때,",848.2,8
14:08.360,14:10.920,"이제 매번 이 불어의 단어들을,",850.92,8
14:11.080,14:11.780,"출력할 때마다,",851.78,8
14:12.320,14:13.640,"이러한 입력 단어들 중에서,",853.64,8
14:13.740,14:16.480,"어떤 단어에 가장 많은 초점을 뒀는지를,",856.48,8
14:16.500,14:17.440,구할 수가 있는 겁니다.,857.44,8
14:17.760,14:19.580,"지금 이런 식으로 밝게 표시된 부분이,",859.58,8
14:19.760,14:21.540,확률 값이 높은 부분이라고 할 수 있습니다.,861.54,8
14:21.880,14:23.900,"이런 식으로 매번 출력할 때마다,",863.9,8
14:24.060,14:26.320,"이 출력하는 단어가 입력 단어 중에서,",866.32,8
14:26.440,14:29.060,"어떤 단어에 더욱 많은 가중치를 두어서,",869.06,8
14:29.300,14:31.540,attention을 수행했는지를 구할 수가 있는 겁니다.,871.54,8
14:31.800,14:33.080,"기본적으로 딥러닝은,",873.08,8
14:33.140,14:35.180,"매우 많은 파라미터를 가지고 있기 때문에,",875.18,8
14:35.340,14:37.620,"그러한 세부적인 파라미터를 일일이 분석하면서,",877.62,8
14:37.980,14:39.580,"어떤 원리로 동작을 했는지를,",879.58,8
14:39.600,14:40.860,알아내기는 쉽지 않습니다.,880.86,8
14:41.080,14:42.000,"그렇기 때문에,",882.0,8
14:42.020,14:43.760,"이렇게 attention 메커니즘은,",883.76,8
14:43.760,14:46.060,"실제로 딥러닝이 어떤 요소에,",886.06,8
14:46.080,14:48.880,"더욱 더 많은 초점을 두어서 분류를 했는가,",888.88,8
14:48.920,14:51.160,"혹은 어떠한 데이터를 만들어냈는가,",891.16,8
14:51.180,14:53.060,"같은 과정을 분석할 때,",893.06,8
14:53.100,14:54.380,용이하게 사용할 수 있습니다.,894.38,8
14:54.560,14:57.520,"그렇다면 오늘 리뷰하고 있는 트랜스포머 논문은,",897.52,9
14:57.560,14:59.320,어떤 원리로 동작할까요?,899.32,9
14:59.460,15:01.120,"트랜스포머는 말씀드렸듯이,",901.12,9
15:01.180,15:02.640,"현대의 딥러닝 기반,",902.64,9
15:02.660,15:03.900,"자연화 처리 네트워크에서,",903.9,9
15:03.960,15:05.400,핵심이 되는 논문 중 하나입니다.,905.4,9
15:05.560,15:07.540,"그래서 논문의 원래 제목은,",907.54,9
15:07.580,15:09.140,attention is all you need 이고요.,909.14,9
15:09.260,15:10.980,"말 그대로 attention 기법만,",910.98,9
15:10.980,15:11.900,"잘 활용해도,",911.9,9
15:11.980,15:13.860,"다양한 자연화 처리 태스크에서,",913.86,9
15:13.980,15:16.000,좋은 성능을 얻을 수 있다는 의미입니다.,916.0,9
15:16.200,15:16.920,"다시 말해,",916.92,9
15:16.960,15:18.520,"attention 기법만 쓰기 때문에,",918.52,9
15:18.720,15:19.280,"RNN,",919.28,9
15:19.440,15:21.420,CNN 등을 전혀 필요로 하지 않습니다.,921.42,9
15:21.700,15:22.460,"진짜 말 그대로,",922.46,9
15:22.640,15:23.800,"attention 기법만 사용해서,",923.8,9
15:23.980,15:25.240,"기계 번역부터 시작해서,",925.24,9
